stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.28443] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28445] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28447] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28449] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28450] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28452] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28454] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28456] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28457] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28459] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28461] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28463] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28464] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28466] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28468] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28469] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28471] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28473] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28474] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28476] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28478] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28480] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28481] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28483] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28484] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28486] Single Buffer requirement not met.
